,Training time (mean),Training time (std),Test F1-score (mean),Test F1-score (std)
BERT finetuned + index,,,0.8971006784234472,0.0
BERT finetuned,,,0.880904534855215,0.0
BERT frozen,,,0.8418514058642325,0.0
One Hot,2637.6205,0.0,0.8354939065663627,0.0
One Hot lemm.,1601.7241,0.0,0.8326837745922312,0.0
Baseline,824.9956,0.0,0.8121574669566521,0.0
Baseline lemm.,782.7376,0.0,0.798196060039722,0.0
Word2Vec MLP,248.3394,0.0,0.7837489148503873,0.0
GloVe MLP,282.5185,0.0,0.7795250957082421,0.0
Word2Vec lemm. MLP,196.5048,0.0,0.7706012376744774,0.0
Word2Vec LR,151.3884,0.0,0.7196619182842199,0.0
Word2Vec lemm. LR,145.3137,0.0,0.7061345807323658,0.0
